epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,580.733,0.7157,0.47276,0.99223,0.91475,0.81798,0.87779,0.6506,0.78663,0.50575,0.98391,0.00119391,0.00119391,0.00119391
88,587.242,0.7043,0.46522,0.98935,0.93149,0.80079,0.8744,0.64909,0.7799,0.50559,0.978,0.0011884,0.0011884,0.0011884
89,593.599,0.70069,0.47183,0.98557,0.91116,0.80444,0.87438,0.65491,0.77853,0.50137,0.98855,0.0011829,0.0011829,0.0011829
90,600.091,0.70066,0.46541,0.98719,0.91337,0.80505,0.87474,0.64121,0.8038,0.51466,1.00237,0.0011774,0.0011774,0.0011774
91,606.964,0.71433,0.47996,0.99373,0.92563,0.80141,0.87587,0.64473,0.79328,0.50049,0.99354,0.0011719,0.0011719,0.0011719
92,613.794,0.69718,0.46223,0.98667,0.92424,0.80266,0.87506,0.65241,0.78985,0.50125,0.98675,0.0011664,0.0011664,0.0011664
93,620.465,0.69806,0.46204,0.98749,0.9224,0.81313,0.88001,0.65627,0.80831,0.50067,0.99912,0.0011609,0.0011609,0.0011609
94,627.133,0.70316,0.46554,0.98453,0.94343,0.80323,0.8744,0.64489,0.79896,0.50945,0.98455,0.0011554,0.0011554,0.0011554
95,633.583,0.69871,0.45809,0.98202,0.92801,0.80964,0.88132,0.65127,0.80003,0.50005,0.98321,0.0011499,0.0011499,0.0011499
96,640.662,0.6965,0.45684,0.98331,0.92999,0.78799,0.85988,0.63523,0.79952,0.5242,0.99717,0.0011444,0.0011444,0.0011444
97,648.068,0.69294,0.46158,0.98232,0.93382,0.80851,0.88064,0.64932,0.80256,0.51385,0.99682,0.00113889,0.00113889,0.00113889
98,655.558,0.6891,0.45591,0.98277,0.91122,0.79982,0.86272,0.64695,0.7871,0.51078,0.99299,0.00113339,0.00113339,0.00113339
99,662.986,0.69497,0.46269,0.98438,0.92489,0.80233,0.8727,0.65425,0.7864,0.50462,0.98337,0.00112789,0.00112789,0.00112789
100,670.206,0.6948,0.45642,0.98274,0.93427,0.79535,0.88014,0.64719,0.79551,0.49276,0.99675,0.00112239,0.00112239,0.00112239
