epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1256.75,0.98707,0.6473,1.27571,0.90321,0.83377,0.89947,0.60703,1.12188,0.65996,1.2862,0.00140625,0.00140625,0.00140625
81,1272.73,0.98589,0.64304,1.26733,0.8819,0.85072,0.9038,0.6064,1.13943,0.65875,1.30543,0.00140295,0.00140295,0.00140295
82,1288.6,0.97602,0.63229,1.26733,0.91335,0.82739,0.90714,0.5615,1.26445,0.70476,1.38302,0.00139965,0.00139965,0.00139965
83,1304.52,0.97716,0.6371,1.26572,0.92504,0.82102,0.90367,0.57229,1.22372,0.66336,1.33941,0.00139635,0.00139635,0.00139635
84,1320.41,0.99535,0.65158,1.28473,0.87828,0.86422,0.90955,0.60784,1.07462,0.65032,1.24925,0.00139305,0.00139305,0.00139305
85,1336.25,0.96883,0.63656,1.2629,0.93059,0.82515,0.90881,0.60635,1.13591,0.65942,1.30297,0.00138974,0.00138974,0.00138974
86,1352.13,0.97891,0.62836,1.26408,0.90381,0.83856,0.9069,0.59885,1.13625,0.65427,1.27682,0.00138644,0.00138644,0.00138644
87,1367.93,0.99238,0.64309,1.27125,0.91017,0.85946,0.91822,0.61041,1.13808,0.63048,1.24539,0.00138314,0.00138314,0.00138314
88,1383.78,0.97771,0.63102,1.26622,0.90337,0.84109,0.90912,0.60417,1.11788,0.66761,1.24841,0.00137984,0.00137984,0.00137984
89,1399.51,0.96881,0.63325,1.25883,0.90814,0.84636,0.90715,0.58898,1.1546,0.6576,1.30794,0.00137654,0.00137654,0.00137654
90,1415.5,0.965,0.6265,1.24759,0.89925,0.84233,0.90976,0.57103,1.25981,0.68531,1.42628,0.00137324,0.00137324,0.00137324
91,1431.48,0.98077,0.64001,1.26393,0.92021,0.86002,0.92229,0.58899,1.18229,0.64745,1.36256,0.00136994,0.00136994,0.00136994
92,1447.23,0.9652,0.62466,1.26165,0.92329,0.83199,0.91032,0.59202,1.15008,0.65667,1.29134,0.00136664,0.00136664,0.00136664
93,1462.85,0.96155,0.6306,1.2555,0.90789,0.84675,0.90401,0.61728,1.05685,0.6275,1.22608,0.00136334,0.00136334,0.00136334
94,1478.67,0.96337,0.62352,1.25529,0.92941,0.86909,0.91987,0.58551,1.2069,0.63114,1.3494,0.00136004,0.00136004,0.00136004
95,1494.59,0.96819,0.62652,1.25471,0.9131,0.8566,0.91283,0.57705,1.22715,0.66196,1.36111,0.00135674,0.00135674,0.00135674
96,1510.3,0.96102,0.61953,1.25255,0.91646,0.84663,0.9148,0.60187,1.14074,0.64794,1.29979,0.00135344,0.00135344,0.00135344
97,1526.14,0.95877,0.62023,1.2491,0.90367,0.85345,0.91334,0.58774,1.18723,0.6518,1.32263,0.00135014,0.00135014,0.00135014
98,1542.08,0.96406,0.61392,1.2571,0.89617,0.86865,0.91561,0.6183,1.07577,0.62593,1.21231,0.00134684,0.00134684,0.00134684
99,1557.94,0.96007,0.62746,1.25513,0.89926,0.83797,0.90479,0.59666,1.15105,0.64524,1.30032,0.00134354,0.00134354,0.00134354
100,1573.87,0.94742,0.61223,1.24075,0.90573,0.85909,0.92166,0.58765,1.18521,0.65909,1.32791,0.00134023,0.00134023,0.00134023
101,1589.76,0.94994,0.61333,1.24438,0.90384,0.86482,0.91783,0.59548,1.17909,0.63623,1.3776,0.00133693,0.00133693,0.00133693
102,1605.48,0.97184,0.61656,1.25633,0.90379,0.85577,0.91267,0.61192,1.11725,0.63275,1.29624,0.00133363,0.00133363,0.00133363
103,1621.31,0.93955,0.60557,1.23844,0.92515,0.83365,0.91491,0.60523,1.13954,0.64274,1.33483,0.00133033,0.00133033,0.00133033
104,1637.24,0.94355,0.61373,1.24732,0.92014,0.83757,0.9158,0.61984,1.0646,0.61919,1.25106,0.00132703,0.00132703,0.00132703
105,1653.05,0.95226,0.60749,1.24639,0.89615,0.85803,0.90825,0.59992,1.10579,0.63713,1.26846,0.00132373,0.00132373,0.00132373
106,1668.92,0.93182,0.5995,1.23326,0.92212,0.8474,0.91786,0.61108,1.1102,0.62393,1.26828,0.00132043,0.00132043,0.00132043
107,1684.84,0.94035,0.59759,1.24244,0.92567,0.84755,0.9206,0.5756,1.21946,0.6344,1.35313,0.00131713,0.00131713,0.00131713
108,1700.65,0.92762,0.59783,1.23415,0.91753,0.86321,0.91331,0.60279,1.12665,0.61699,1.28709,0.00131383,0.00131383,0.00131383
109,1716.54,0.92553,0.58998,1.2229,0.9059,0.85718,0.91855,0.61225,1.1177,0.61608,1.28573,0.00131053,0.00131053,0.00131053
110,1732.47,0.93448,0.59987,1.22866,0.93063,0.84277,0.91652,0.61654,1.09271,0.61196,1.27121,0.00130723,0.00130723,0.00130723
111,1748.47,0.91709,0.58798,1.21456,0.89669,0.87354,0.91776,0.61132,1.10802,0.61006,1.26092,0.00130393,0.00130393,0.00130393
112,1764.08,0.92963,0.6004,1.22661,0.93733,0.82459,0.91782,0.6038,1.14978,0.63211,1.32815,0.00130063,0.00130063,0.00130063
