epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,154.791,0.62514,0.42368,0.90054,0.90585,0.70559,0.77624,0.51294,1.01345,0.64918,1.04386,0.000902347,0.000902347,0.000902347
141,155.884,0.6157,0.41508,0.89613,0.92549,0.68779,0.77735,0.52165,1.02061,0.65258,1.0427,0.000896846,0.000896846,0.000896846
142,156.938,0.64526,0.43955,0.90165,0.88888,0.70589,0.77615,0.53181,0.9909,0.63367,1.02199,0.000891345,0.000891345,0.000891345
143,158.014,0.64843,0.4291,0.9095,0.89464,0.69364,0.77407,0.52029,1.00559,0.63388,1.03032,0.000885844,0.000885844,0.000885844
144,159.104,0.62037,0.41627,0.90395,0.88236,0.69523,0.7744,0.52848,0.99989,0.62564,1.03225,0.000880343,0.000880343,0.000880343
145,160.146,0.64443,0.42162,0.90097,0.90552,0.70276,0.77859,0.51917,1.01281,0.62084,1.03698,0.000874842,0.000874842,0.000874842
146,161.2,0.60926,0.41413,0.8953,0.88177,0.71609,0.78014,0.53368,0.97574,0.59741,1.02839,0.00086934,0.00086934,0.00086934
147,162.221,0.61735,0.41714,0.89772,0.90478,0.69872,0.78155,0.53168,0.98418,0.59972,1.04484,0.000863839,0.000863839,0.000863839
148,163.26,0.61927,0.41562,0.90044,0.88203,0.69773,0.78494,0.52809,0.99964,0.634,1.04121,0.000858338,0.000858338,0.000858338
149,164.297,0.60213,0.40579,0.88732,0.90748,0.70335,0.77829,0.53165,0.99028,0.61887,1.03457,0.000852837,0.000852837,0.000852837
150,165.352,0.61755,0.40904,0.89964,0.89364,0.69265,0.78551,0.53393,0.99409,0.60133,1.03168,0.000847336,0.000847336,0.000847336
151,166.442,0.59823,0.41132,0.90433,0.88338,0.68858,0.77418,0.52735,1.00376,0.61963,1.03266,0.000841835,0.000841835,0.000841835
152,167.484,0.59057,0.39638,0.88288,0.89902,0.70475,0.77543,0.52274,1.00868,0.59575,1.04354,0.000836334,0.000836334,0.000836334
153,168.538,0.61069,0.40972,0.88963,0.86038,0.7367,0.77874,0.52517,0.99859,0.60094,1.04162,0.000830833,0.000830833,0.000830833
154,169.624,0.60643,0.40369,0.88685,0.90198,0.69146,0.78676,0.52895,1.01911,0.61581,1.05607,0.000825332,0.000825332,0.000825332
155,170.705,0.6127,0.40682,0.88979,0.9205,0.67005,0.78828,0.52553,1.01673,0.63408,1.06245,0.000819831,0.000819831,0.000819831
156,171.753,0.59361,0.41113,0.89338,0.90513,0.69077,0.79897,0.53681,0.99737,0.60175,1.05409,0.000814329,0.000814329,0.000814329
157,172.791,0.59922,0.3966,0.89645,0.87852,0.72252,0.79692,0.53566,1.018,0.59451,1.06565,0.000808828,0.000808828,0.000808828
